date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:12	4429/4429	---M--	200	added ('OK')	image/png	etag:%22114d-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/logo/logo.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/logo/logo.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:13	10022/10022	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222726-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/logo/logo.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/logo/logo.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:15	3461/3461	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d85-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/course-01.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/course-01.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:15	7025/7025	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221b71-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/course-02.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/course-02.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:15	137189/137189	---M--	200	added ('OK')	image/png	etag:%22217e5-5f28d72546f80%22	https://dreamslms.dreamguystech.com/html/assets/img/slider/home-slider.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/slider/home-slider.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:15	4829/4829	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2212dd-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/course-03.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/course-03.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:17	4282/4282	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2210ba-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/course-04.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/course-04.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:18	1259/1259	---M--	200	added ('OK')	image/png	etag:%224eb-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/bg/pattern-01.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/bg/pattern-01.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:19	77389/77389	---M--	200	added ('OK')	image/png	etag:%2212e4d-5f28d72546f80%22	https://dreamslms.dreamguystech.com/html/assets/img/students/career.png	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/students/career.png	(from https://dreamslms.dreamguystech.com/html/index-three.html)
15:20:20	802/802	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22322-5f286f5be9280%22	https://dreamslms.dreamguystech.com/html/assets/img/icon-three/career-01.svg	C:/Users/lenovo%20pc/Desktop/INFISCH/dreamslms.dreamguystech.com/html/assets/img/icon-three/career-01.svg	(from https://dreamslms.dreamguystech.com/html/index-three.html)
